2010	H	MEXICANA	MÉXICO	CHIAPAS	9/22/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	9/28/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/7/1988	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/9/1988	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/14/1988	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/19/1988	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/26/1988	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/27/1988	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/1/1988	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/2/1988	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/7/1988	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/7/1988	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/13/1988	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/20/1988	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/16/1988	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/19/1988	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/24/1988	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/26/1988	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/1/1989	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/3/1989	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/5/1989	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/6/1989	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/19/1989	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/20/1989	21	BECADO EXTERNO
